city,state,region,estimated_attendance,region_size,cartodb_id,created_at,updated_at,cartodb_georef_status,longitude_0,latitude_0,geojson
Anaheim,California,Pasadena District,395,"4,748",2,14:30.2,15:43.7,TRUE,-117.91572,33.83276,"{""type"":""Point"",""coordinates"":[-117.91572,33.83276]}"
El Monte,California,Pasadena District,395,"4,748",4,14:30.2,15:44.7,TRUE,-118.0275,34.073333,"{""type"":""Point"",""coordinates"":[-118.0275,34.073333]}"
Glendale,California,Pasadena District,395,"4,748",6,14:30.2,15:45.8,TRUE,-112.18628,33.53858,"{""type"":""Point"",""coordinates"":[-112.18628,33.53858]}"
Long Beach,California,Pasadena District,395,"4,748",7,14:30.2,15:46.4,TRUE,-118.195556,33.768333,"{""type"":""Point"",""coordinates"":[-118.195556,33.768333]}"
Phoenix,Arizona,Pasadena District,395,"4,748",9,14:30.2,15:47.5,TRUE,-112.07577,33.44826,"{""type"":""Point"",""coordinates"":[-112.07577,33.44826]}"
Santa Barbara,California,Pasadena District,395,"4,748",11,14:30.2,15:48.6,TRUE,-119.69905,34.41938,"{""type"":""Point"",""coordinates"":[-119.69905,34.41938]}"
Tuscon,Arizona,Pasadena District,395,"4,748",12,14:30.2,15:49.1,TRUE,-110.96976,32.22155,"{""type"":""Point"",""coordinates"":[-110.96976,32.22155]}"
Reno,Nevada,Oakland District,259,"1,818",14,14:30.2,15:50.1,TRUE,-119.821944,39.527222,"{""type"":""Point"",""coordinates"":[-119.821944,39.527222]}"
San Francisco,California,Oakland District,259,"1,818",16,14:30.2,15:51.1,TRUE,-122.39178,37.61478,"{""type"":""Point"",""coordinates"":[-122.39178,37.61478]}"
San Jose,California,Oakland District,259,"1,818",17,14:30.2,15:52.0,TRUE,-121.88557,37.33858,"{""type"":""Point"",""coordinates"":[-121.88557,37.33858]}"
Fresno,California,Oakland District,259,"1,818",19,14:30.2,15:53.2,TRUE,-119.78573,36.74068,"{""type"":""Point"",""coordinates"":[-119.78573,36.74068]}"
Portland,Oregon,Portland District,422,"2,959",20,14:30.2,15:53.8,TRUE,-122.59295,45.58878,"{""type"":""Point"",""coordinates"":[-122.59295,45.58878]}"
Eugene,Oregon,Portland District,422,"2,959",22,14:30.2,15:54.8,TRUE,-123.08854,44.04992,"{""type"":""Point"",""coordinates"":[-123.08854,44.04992]}"
Salem,Oregon,Portland District,422,"2,959",24,14:30.2,15:55.8,TRUE,-123.028889,44.930833,"{""type"":""Point"",""coordinates"":[-123.028889,44.930833]}"
Seattle,Washington,Portland District,422,"2,959",26,14:30.2,15:56.9,TRUE,-122.32945,47.60357,"{""type"":""Point"",""coordinates"":[-122.32945,47.60357]}"
New York City,New York,Manhattan District,287,"3,448",27,14:30.2,15:57.5,TRUE,-74.00712,40.71455,"{""type"":""Point"",""coordinates"":[-74.00712,40.71455]}"
Baltimore,Maryland,Manhattan District,287,"3,448",29,14:30.2,15:58.6,TRUE,-76.60926,39.29058,"{""type"":""Point"",""coordinates"":[-76.60926,39.29058]}"
Buffalo,New York,Manhattan District,287,"3,448",31,14:30.2,15:59.7,TRUE,-78.849444,42.904722,"{""type"":""Point"",""coordinates"":[-78.849444,42.904722]}"
Harrisburg,Pennsylvania,Manhattan District,287,"3,448",32,14:30.2,16:00.2,TRUE,-76.88234,40.25993,"{""type"":""Point"",""coordinates"":[-76.88234,40.25993]}"
Newark,New Jersey,Manhattan District,287,"3,448",34,14:30.2,16:01.3,TRUE,-74.17421,40.73197,"{""type"":""Point"",""coordinates"":[-74.17421,40.73197]}"
Richmond,Virginia,Manhattan District,287,"3,448",36,14:30.2,16:02.3,TRUE,-77.43365,37.5407,"{""type"":""Point"",""coordinates"":[-77.43365,37.5407]}"
Paterson,New Jersey,Manhattan District,287,"3,448",37,14:30.2,16:02.7,TRUE,-74.17108,40.91646,"{""type"":""Point"",""coordinates"":[-74.17108,40.91646]}"
Amarillo,Texas,Kansas City District ,263,"3,689",39,14:30.2,16:03.7,TRUE,-101.83389,35.20725,"{""type"":""Point"",""coordinates"":[-101.83389,35.20725]}"
Bismarck,North Dakota,Kansas City District ,263,"3,689",40,14:30.2,16:04.4,TRUE,-100.77933,46.80537,"{""type"":""Point"",""coordinates"":[-100.77933,46.80537]}"
Denver,Colorado,Kansas City District ,263,"3,689",42,14:30.2,16:05.5,TRUE,-104.9923,39.74001,"{""type"":""Point"",""coordinates"":[-104.9923,39.74001]}"
Fargo,North Dakota,Kansas City District ,263,"3,689",44,14:30.2,16:06.7,TRUE,-96.78176,46.87591,"{""type"":""Point"",""coordinates"":[-96.78176,46.87591]}"
Joplin,Missouri,Kansas City District ,263,"3,689",45,14:30.2,16:07.3,TRUE,-94.51347,37.08476,"{""type"":""Point"",""coordinates"":[-94.51347,37.08476]}"
Omaha,Nebraska,Kansas City District ,263,"3,689",47,14:30.2,16:08.3,TRUE,-95.94059,41.26069,"{""type"":""Point"",""coordinates"":[-95.94059,41.26069]}"
Salina,Kansas,Kansas City District ,263,"3,689",49,14:30.2,16:09.2,TRUE,-97.60969,38.84054,"{""type"":""Point"",""coordinates"":[-97.60969,38.84054]}"
Springfield,Missouri,Kansas City District ,263,"3,689",50,14:30.2,16:09.6,TRUE,-89.6436,39.80105,"{""type"":""Point"",""coordinates"":[-89.6436,39.80105]}"
Big Sandy,Texas,Big Sandy District ,314,"5,025",52,14:30.2,16:10.6,TRUE,-95.112222,32.584722,"{""type"":""Point"",""coordinates"":[-95.112222,32.584722]}"
Corpus Christi,Texas,Big Sandy District ,314,"5,025",54,14:30.2,16:11.5,TRUE,-97.40356,27.79641,"{""type"":""Point"",""coordinates"":[-97.40356,27.79641]}"
Dallas North,Texas,Big Sandy District ,628,"5,025",55,14:30.2,16:11.9,TRUE,-96.79311,32.89312,"{""type"":""Point"",""coordinates"":[-96.79311,32.89312]}"
Fort Worth,Texas,Big Sandy District ,314,"5,025",57,14:30.2,16:12.9,TRUE,-97.33086,32.75095,"{""type"":""Point"",""coordinates"":[-97.33086,32.75095]}"
Little Rock,Arkansas,Big Sandy District ,314,"5,025",59,14:30.2,16:14.0,TRUE,-92.27449,34.74865,"{""type"":""Point"",""coordinates"":[-92.27449,34.74865]}"
Odessa,Texas,Big Sandy District ,314,"5,025",60,14:30.2,16:14.4,TRUE,-102.365556,31.863333,"{""type"":""Point"",""coordinates"":[-102.365556,31.863333]}"
San Antonio,Texas,Big Sandy District ,314,"5,025",62,14:30.2,16:15.3,TRUE,-98.49461,29.42458,"{""type"":""Point"",""coordinates"":[-98.49461,29.42458]}"
Texarkana,Arkansas,Big Sandy District ,314,"5,025",64,14:30.2,16:16.2,TRUE,-94.03579,33.43096,"{""type"":""Point"",""coordinates"":[-94.03579,33.43096]}"
Tulsa,Oklahoma,Big Sandy District ,314,"5,025",65,14:30.2,16:16.6,TRUE,-95.99333,36.14974,"{""type"":""Point"",""coordinates"":[-95.99333,36.14974]}"
Birmingham,Alabama,Atlanta District ,271,"3,262",67,14:30.2,16:17.6,TRUE,-86.808889,33.653333,"{""type"":""Point"",""coordinates"":[-86.808889,33.653333]}"
Columbia,Maryland,Atlanta District ,271,"3,262",68,14:30.2,16:18.0,TRUE,-76.856944,39.203611,"{""type"":""Point"",""coordinates"":[-76.856944,39.203611]}"
Greensboro,North Carolina,Atlanta District ,271,"3,262",70,14:30.2,16:18.9,TRUE,-79.7947,36.06899,"{""type"":""Point"",""coordinates"":[-79.7947,36.06899]}"
Jackson,Mississippi,Atlanta District ,271,"3,262",72,14:30.2,16:19.9,TRUE,-90.18049,32.29869,"{""type"":""Point"",""coordinates"":[-90.18049,32.29869]}"
Lakeland,Florida,Atlanta District ,271,"3,262",73,14:30.2,16:20.4,TRUE,-81.94786,28.04419,"{""type"":""Point"",""coordinates"":[-81.94786,28.04419]}"
Miami,Florida,Atlanta District ,271,"3,262",75,14:30.2,16:21.4,TRUE,-80.27184,25.79504,"{""type"":""Point"",""coordinates"":[-80.27184,25.79504]}"
Albuquerque,New Mexico,Pasadena District,395,"4,748",1,14:30.2,17:35.0,TRUE,-106.64864,35.08418,"{""type"":""Point"",""coordinates"":[-106.64864,35.08418]}"
Bakersfield,California,Pasadena District,395,"4,748",3,14:30.2,15:44.2,TRUE,-119.01886,35.36696,"{""type"":""Point"",""coordinates"":[-119.01886,35.36696]}"
Fontana,California,Pasadena District,395,"4,748",5,14:30.2,15:45.3,TRUE,-117.43576,34.10205,"{""type"":""Point"",""coordinates"":[-117.43576,34.10205]}"
Los Angeles,California,Pasadena District,395,"4,748",8,14:30.2,15:46.9,TRUE,-118.24532,34.05349,"{""type"":""Point"",""coordinates"":[-118.24532,34.05349]}"
San Diego,California,Pasadena District,395,"4,748",10,14:30.2,15:48.0,TRUE,-117.16172,32.71569,"{""type"":""Point"",""coordinates"":[-117.16172,32.71569]}"
Modesto,California,Oakland District,259,"1,818",13,14:30.2,15:49.6,TRUE,-122.270833,37.804444,"{""type"":""Point"",""coordinates"":[-122.270833,37.804444]}"
Sacramento,California,Oakland District,259,"1,818",15,14:30.2,15:50.6,TRUE,-121.4909,38.57933,"{""type"":""Point"",""coordinates"":[-121.4909,38.57933]}"
Oakland,California,Oakland District,259,"1,818",18,14:30.2,15:52.5,TRUE,-122.270833,37.804444,"{""type"":""Point"",""coordinates"":[-122.270833,37.804444]}"
Nashville,Tennessee,Nashville District ,255,"2,815",78,14:30.2,16:22.8,TRUE,-86.77816,36.16784,"{""type"":""Point"",""coordinates"":[-86.77816,36.16784]}"
Boise,Idaho,Portland District,422,"2,959",21,14:30.2,15:54.3,TRUE,-116.19341,43.60698,"{""type"":""Point"",""coordinates"":[-116.19341,43.60698]}"
Medford,Oregon,Portland District,422,"2,959",23,14:30.2,15:55.3,TRUE,-122.861944,42.331944,"{""type"":""Point"",""coordinates"":[-122.862,42.33194]}"
Salt Lake City,Utah,Portland District,422,"2,959",25,14:30.2,15:56.4,TRUE,-111.88822,40.76006,"{""type"":""Point"",""coordinates"":[-111.88822,40.76006]}"
Alexandria,Virginia,Manhattan District,287,"3,448",28,14:30.2,15:58.0,TRUE,-77.047222,38.804722,"{""type"":""Point"",""coordinates"":[-77.047222,38.804722]}"
Brooklyn,New York,Manhattan District,287,"3,448",30,14:30.2,15:59.2,TRUE,-73.952222,40.624722,"{""type"":""Point"",""coordinates"":[-73.952222,40.624722]}"
Manchester,New York,Manhattan District,287,"3,448",33,14:30.2,16:00.8,TRUE,-76.21949,43.13412,"{""type"":""Point"",""coordinates"":[-76.21949,43.13412]}"
Philadelphia,Pennsylvania,Manhattan District,287,"3,448",35,14:30.2,16:01.8,TRUE,-75.16245,39.95228,"{""type"":""Point"",""coordinates"":[-75.16245,39.95228]}"
