X	Y	Location	Cult	Image
-86.20768805	32.36454179	"Montgomery, AL"	Church of God International	http://silenced.co/wp-content/uploads/2011/04/cgilogo.jpg
-94.15742337	36.06257963	"Fayettville, AR"	Church of God International	http://silenced.co/wp-content/uploads/2011/04/cgilogo.jpg
-94.39854349	35.38592723	"Fort Smith, AR"	Church of God International	http://silenced.co/wp-content/uploads/2011/04/cgilogo.jpg
-92.28959093	34.74648199	"Little Rock, AR"	Church of God International	http://silenced.co/wp-content/uploads/2011/04/cgilogo.jpg
-94.03768626	33.44179366	"Texarkana, AR"	Church of God International	http://silenced.co/wp-content/uploads/2011/04/cgilogo.jpg
-121.9473103	36.87819304	"Monterey Bay, CA"	Church of God International	http://silenced.co/wp-content/uploads/2011/04/cgilogo.jpg
-82.80010249	27.96585468	"Clearwater, FL"	Church of God International	http://silenced.co/wp-content/uploads/2011/04/cgilogo.jpg
-81.78868659	28.06530082	"Auburndale, FL"	Church of God International	http://silenced.co/wp-content/uploads/2011/04/cgilogo.jpg
-82.57481559	27.49893136	"Bradenton, FL"	Church of God International	http://silenced.co/wp-content/uploads/2011/04/cgilogo.jpg
-84.38798154	33.74899572	"Atlanta, GA"	Church of God International	http://silenced.co/wp-content/uploads/2011/04/cgilogo.jpg
-86.1580668	39.76840791	"Indianapolis, IN"	Church of God International	http://silenced.co/wp-content/uploads/2011/04/cgilogo.jpg
-92.34296175	42.49276834	"Waterloo, IA"	Church of God International	http://silenced.co/wp-content/uploads/2011/04/cgilogo.jpg
-97.3675121	37.70858397	"Wichita, KS"	Church of God International	http://silenced.co/wp-content/uploads/2011/04/cgilogo.jpg
-84.44716084	39.07506472	"Fort Thomas, KY"	Church of God International	http://silenced.co/wp-content/uploads/2011/04/cgilogo.jpg
-85.75845374	38.25266741	"Louisville, KY"	Church of God International	http://silenced.co/wp-content/uploads/2011/04/cgilogo.jpg
-83.43268063	38.18397513	"Morehead, KY"	Church of God International	http://silenced.co/wp-content/uploads/2011/04/cgilogo.jpg
-93.71891149	32.53274604	"Bossier City, LA"	Church of God International	http://silenced.co/wp-content/uploads/2011/04/cgilogo.jpg
-77.20136969	39.14344465	"Gaithersburg, MD"	Church of God International	http://silenced.co/wp-content/uploads/2011/04/cgilogo.jpg
-83.04575311	42.33143055	"Detroit, MI"	Church of God International	http://silenced.co/wp-content/uploads/2011/04/cgilogo.jpg
-94.50676836	38.94690219	"Kansas City, MO"	Church of God International	http://silenced.co/wp-content/uploads/2011/04/cgilogo.jpg
-93.29229708	37.20895735	"Springfield, MO"	Church of God International	http://silenced.co/wp-content/uploads/2011/04/cgilogo.jpg
-91.96987126	36.99228075	"Willow Springs, MO"	Church of God International	http://silenced.co/wp-content/uploads/2011/04/cgilogo.jpg
-74.00597037	40.71435576	"New York City, NY"	Church of God International	http://silenced.co/wp-content/uploads/2011/04/cgilogo.jpg
-81.34119365	35.73318834	"Hickory, NC"	Church of God International	http://silenced.co/wp-content/uploads/2011/04/cgilogo.jpg
-78.63860962	35.77209654	"Raleigh, NC"	Church of God International	http://silenced.co/wp-content/uploads/2011/04/cgilogo.jpg
-81.63623359	41.18894869	"Bath, OH"	Church of God International	http://silenced.co/wp-content/uploads/2011/04/cgilogo.jpg
-82.9987939	39.96117589	"Columbus, OH"	Church of God International	http://silenced.co/wp-content/uploads/2011/04/cgilogo.jpg
-84.39827609	39.51506023	"Middletown, OH"	Church of God International	http://silenced.co/wp-content/uploads/2011/04/cgilogo.jpg
-83.5552101	41.66394082	"Toledo, OH"	Church of God International	http://silenced.co/wp-content/uploads/2011/04/cgilogo.jpg
-97.05836337	36.11561036	"Stillwater, OK"	Church of God International	http://silenced.co/wp-content/uploads/2011/04/cgilogo.jpg
-78.39473387	40.5186847	"Altoona, PA"	Church of God International	http://silenced.co/wp-content/uploads/2011/04/cgilogo.jpg
-79.9958844	40.44062766	"Pittsburgh, PA"	Church of God International	http://silenced.co/wp-content/uploads/2011/04/cgilogo.jpg
-79.93091946	32.77656756	"Charleston, SC"	Church of God International	http://silenced.co/wp-content/uploads/2011/04/cgilogo.jpg
-88.81394439	35.61451786	"Jackson, TN"	Church of God International	http://silenced.co/wp-content/uploads/2011/04/cgilogo.jpg
-89.99245445	35.0635368	"Memphis, TN"	Church of God International	http://silenced.co/wp-content/uploads/2011/04/cgilogo.jpg
-86.92142773	36.07735829	"Nashville, TN"	Church of God International	http://silenced.co/wp-content/uploads/2011/04/cgilogo.jpg
-83.92073501	35.96064279	"Knoxville, TN"	Church of God International	http://silenced.co/wp-content/uploads/2011/04/cgilogo.jpg
-99.73231321	32.48884174	Abilene TX	Church of God International	http://silenced.co/wp-content/uploads/2011/04/cgilogo.jpg
-96.96733868	32.83066844	"Irving, TX"	Church of God International	http://silenced.co/wp-content/uploads/2011/04/cgilogo.jpg
-95.49583527	29.72349043	"Houston, TX"	Church of God International	http://silenced.co/wp-content/uploads/2011/04/cgilogo.jpg
-95.33000178	32.30560135	"Tyler, TX"	Church of God International	http://silenced.co/wp-content/uploads/2011/04/cgilogo.jpg
-76.29827149	36.83542772	"Portsmouth, VA"	Church of God International	http://silenced.co/wp-content/uploads/2011/04/cgilogo.jpg
-111.8910471	40.76078203	"Salt Lake City, UT"	Church of God International	http://silenced.co/wp-content/uploads/2011/04/cgilogo.jpg
-80.47774322	43.43431573	"Kitchener, ON"	Church of God International	http://silenced.co/wp-content/uploads/2011/04/cgilogo.jpg
-123.9400606	49.16588763	"Nanaimo, BC"	Church of God International	http://silenced.co/wp-content/uploads/2011/04/cgilogo.jpg
-73.5539909	45.50867486	"Montreal, CA"	Church of God International	http://silenced.co/wp-content/uploads/2011/04/cgilogo.jpg
-79.38318145	43.65322879	"Toronto, ON"	Church of God International	http://silenced.co/wp-content/uploads/2011/04/cgilogo.jpg
121.079681	14.609133	"Quezon City, Philippines"	Church of God International	http://silenced.co/wp-content/uploads/2011/04/cgilogo.jpg
-73.792809	40.714996	"Queens, NY"	Church of God International	http://silenced.co/wp-content/uploads/2011/04/cgilogo.jpg
152.682236	-27.997343	"Boonah, Australia"	Church of God International	http://silenced.co/wp-content/uploads/2011/04/cgilogo.jpg
