X,Y,Location,Cult,Image
-93.105698,44.952164,"St. Paul, MN",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-91.494827,44.811802,"Eau Claire, WI",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-94.515724,37.083942,"Joplin, MO",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-93.285599,37.214474,"Springfield, MO",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-93.107071,36.229595,"Harrison, AR",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-90.075531,29.959694,"New Orleans, LA",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-89.12384,31.683769,"Laurel, MS",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-76.703629,37.270775,"Williamsburg, VA",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
173.803711,-41.360317,New Zealand,COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-92.097015,46.791126,"Duluth, MN",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-94.363976,45.976566,"Little Falls, MN",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-93.266373,44.97913,"Minneapolis, MN",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-81.378822,28.54472,"Orlando, FL",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-74.355469,40.13689,Central New Jersey,COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-73.987427,40.693134,"New York, NY",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-82.567749,36.548534,"Kingsport, TN",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-83.908768,35.965782,"Knoxville, TN",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-84.083862,37.129253,"London, KY",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-79.9403,37.274052,"Roanoke, VA",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-81.633224,38.353771,"Charleston, WV",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-81.102707,37.366882,"Princeton, WV",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-97.740555,30.277451,"Austin, TX",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-99.424126,31.828493,"Coleman, TX",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-97.144203,31.552502,"Waco, TX",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-119.800415,39.545353,"Reno, NV",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-121.49437,38.589771,"Sacramento, CA",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-84.38839,33.754601,"Atlanta, GA",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-83.564415,34.118626,"Jefferson, GA",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-81.67099,30.358656,"Jacksonville, FL",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-84.288139,30.444235,"Tallahassee, FL",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-81.870804,26.64255,"Fort Myers, FL",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-80.214958,25.796492,"Miami, FL",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-80.05394,26.720774,"West Palm Beach, FL",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-89.028397,42.510323,"Beloit, WI",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-89.77066,43.630733,"Wisconsin Dells, WI",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-97.407532,27.797779,"Corpus Christi, TX",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
