X	Y	Location	Cult	Image
-79.9414221	37.2709713	"Roanoke, VA"	"Church of God, a Worldwide Association"	http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-76.7074556	37.27070692	"Williamsburg, VA"	"Church of God, a Worldwide Association"	http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-122.3320663	47.60621187	"Seattle, WA"	"Church of God, a Worldwide Association"	http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-81.6326207	38.34982367	"Charleston, WV"	"Church of God, a Worldwide Association"	http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-79.95589609	39.62952666	"Morgantown, WV"	"Church of God, a Worldwide Association"	http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-81.5615093	39.26674396	"Parkersburg, WV"	"Church of God, a Worldwide Association"	http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-81.10258826	37.36622952	"Princeton, WV"	"Church of God, a Worldwide Association"	http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-80.72091259	40.06396513	"Wheeling, WV"	"Church of God, a Worldwide Association"	http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-89.03177327	42.50835063	"Beloit, WI"	"Church of God, a Worldwide Association"	http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-91.49849065	44.81135289	"Eau Claire, WI"	"Church of God, a Worldwide Association"	http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-87.90646894	43.03890742	"Milwaukee, WI"	"Church of God, a Worldwide Association"	http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
5.579671038	50.63255816	"Liege, Belgiumzx"	"Church of God, a Worldwide Association"	http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-0.119820564	51.51121577	"London, UK"	"Church of God, a Worldwide Association"	http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
0.275683959	51.19504528	"Tonbridge, UK"	"Church of God, a Worldwide Association"	http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
6.142300125	46.19839528	"Geneva, Switzerland"	"Church of God, a Worldwide Association"	http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-62.26807576	-38.71167699	"Bahia Blanca, Argentina"	"Church of God, a Worldwide Association"	http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-58.38158943	-34.6037232	"Buenos Aires, Argentina"	"Church of God, a Worldwide Association"	http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-65.97604801	-26.07307661	"Cafayate, Argentina"	"Church of God, a Worldwide Association"	http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-64.18212524	-31.39892497	"Cordoba, Argentina"	"Church of God, a Worldwide Association"	http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-64.65931257	-24.30776993	"Santa Clara, Argentina"	"Church of God, a Worldwide Association"	http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-68.14624474	-16.4990098	"La Paz, Bolivia"	"Church of God, a Worldwide Association"	http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-62.99999519	-17.86666199	"Santa Cruz, Bolivia"	"Church of God, a Worldwide Association"	http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-53.80748603	-29.68580298	"Santa Maria, Brasil"	"Church of God, a Worldwide Association"	http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-73.05031746	-36.81893599	"Concepcion, Chile"	"Church of God, a Worldwide Association"	http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-73.13191356	-40.57450505	"Osorno, Chile"	"Church of God, a Worldwide Association"	http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-71.97083204	-36.42614923	"San Carlos, Chile"	"Church of God, a Worldwide Association"	http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-70.64199276	-33.4691185	"Santiago, Chile"	"Church of God, a Worldwide Association"	http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-71.65728792	-35.43064509	"Talca, Chile"	"Church of God, a Worldwide Association"	http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-72.58449448	-38.73382917	"Temuco, Chile"	"Church of God, a Worldwide Association"	http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-74.07583057	4.59805659	"Bogota, Colombia"	"Church of God, a Worldwide Association"	http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-76.52222192	3.420557912	"Cali, Colombia"	"Church of God, a Worldwide Association"	http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-75.57513579	6.235928831	"Medillin, Colombia"	"Church of God, a Worldwide Association"	http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-78.98332914	-2.8999969	"Cuenca, Ecuador"	"Church of God, a Worldwide Association"	http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-78.51666516	-0.216664187	"Quito, Ecuador"	"Church of God, a Worldwide Association"	http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-88.81909582	13.72322039	"San Sabastian, El Salvador"	"Church of God, a Worldwide Association"	http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-89.2018094	13.70688154	"San Salvador, El Salvador"	"Church of God, a Worldwide Association"	http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-91.31469247	15.80710431	"Barillas, Guatemala"	"Church of God, a Worldwide Association"	http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-89.34999823	15.53333518	"El Estor, Guatemala"	"Church of God, a Worldwide Association"	http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-90.53281369	14.62479997	"Guatemala City, Guatemala"	"Church of God, a Worldwide Association"	http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-89.89249709	14.28277888	"Jutiapa, Guatemala"	"Church of God, a Worldwide Association"	http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-91.52195592	14.83615725	"Quetzaltenango, Guatemala"	"Church of God, a Worldwide Association"	http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-89.90760648	16.91364388	"San Benito, Guatemala"	"Church of God, a Worldwide Association"	http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-99.88161335	16.86379826	"Acapulco, Mexico"	"Church of God, a Worldwide Association"	http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-106.073698	28.63058141	"Chihuahua, Mexico"	"Church of God, a Worldwide Association"	http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-99.49999765	17.5500007	"Chilpancingo, Mexico"	"Church of God, a Worldwide Association"	http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-99.13320756	19.43261155	"Ciudad, Mexico"	"Church of God, a Worldwide Association"	http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-100.8813287	22.15366485	"Gómez, Mexico"	"Church of God, a Worldwide Association"	http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-103.3496205	20.65965028	"Guadalajara, Mexico"	"Church of God, a Worldwide Association"	http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-93.062386	18.17602799	"Jalpa de Méndez, Mexico"	"Church of God, a Worldwide Association"	http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-100.2250369	25.65332736	"León Adán, Mexico"	"Church of God, a Worldwide Association"	http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
