longitude,latitude,Location,Cult,Image
-86.58609877,34.73037078,"AL, Huntsville",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
-92.26709388,34.76953606,"AR, North Little Rock",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
-110.9264789,32.22174319,"AZ, Tucson",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
-120.2601739,37.12299987,"CA, Chowchilla",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
-122.2808325,40.3857116,"CA, Cottonwood",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
-121.4943948,38.58157482,"CA, Sacramento",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
-82.45717288,27.95057621,"FL, Tampa",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
-84.38797753,33.74899754,"GA, Atlanta",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
-81.09983157,32.0835422,"GA, Savannah",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
-90.48343601,41.56085396,"IA, Bettendorf",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
-91.66562033,41.97788413,"IA, Cedar Rapids",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
-96.40030397,42.49999563,"IA, Sioux City",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
-116.1193298,47.53825763,"ID, Kellogg",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
-87.68318923,41.76034972,"IL, Chicago/Western Suburbs",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
-87.68769515,42.04507362,"IL, Evanston",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
-89.58898564,40.69365125,"IL, Peoria",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
-88.94561478,38.62699596,"IL, Salem",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
-89.65014322,39.78172497,"IL, Springfield",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
-88.89783849,37.41533042,"IL, Vienna",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
-86.62499649,39.23393685,"IN, Bloomington/Ellettsville",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
-85.92137867,39.2014404,"IN, Columbus",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
-87.57108794,37.9715639,"IN, Evansville",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
-85.13934751,41.07927694,"IN, Fort Wayne",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
-85.53719471,40.05727174,"IN, Middletown",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
-84.07694017,37.08722592,"KY, London/Corbin",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
