longitude,latitude,Location,Cult,Image
-118.2436827,34.05223767,"Los Angeles, CA",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-116.5452909,33.83030028,"Palm Springs, CA",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-122.3916733,40.58654443,"Redding, CA",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-121.494396,38.58157194,"Sacramento, CA",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-117.1572516,32.71532931,"San Diego, CA",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-104.8213625,38.8338835,"Colorado Springs, CO",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-104.984716,39.73757189,"Denver, CO",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-107.9131298,40.03747576,"Meeker, CO",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-77.03636527,38.8951163,"Washington, DC",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-80.14337394,26.12231258,"Ft Lauderdale, FL",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-81.65564759,30.33218757,"Jacksonville, FL",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-82.63928928,30.18967865,"Lake City, FL",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-82.14008852,29.18719991,"Ocala, FL",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-87.21691261,30.42131283,"Pensacola, FL",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-82.45717411,27.95057531,"Tampa, FL",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-84.38797817,33.74899972,"Atlanta, GA",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-82.01051324,33.47349949,"Augusta, GA",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-83.95823667,34.87620252,"Blairsville, GA",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-83.76266932,34.10927609,"Braselton, GA",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-84.9877053,32.46097689,"Columbus, GA",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-83.6324003,32.84069845,"Macon, GA",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-83.97878035,30.83658544,"Thomasville, GA",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-93.60910505,41.60054545,"Des Moines, IA",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-90.66456976,42.50056191,"Dubuque, IA",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-116.2146036,43.61871273,"Boise, ID",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-87.62979344,41.8781167,"Chicago, IL",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-89.58898517,40.6936507,"Peoria, IL",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-85.13934727,41.07927353,"Fort Wayne, IN",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-86.15806738,39.7684034,"Indianapolis, IN",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-86.62501358,41.29587735,"Knox, IN",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-87.41390587,39.46670512,"Terre Haute, IN",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-95.4572016,37.67921438,"Chanute, KS",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-97.3361089,37.68888957,"Wichita, KS",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-84.29632116,37.56869534,"Berea, KY",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-85.75845085,38.25266864,"Louisville, KY",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-91.14031629,30.4582861,"Baton Rouge, LA",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-91.55456022,31.63016937,"Ferriday, LA",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-92.019838,30.22409166,"Lafayette, LA",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-92.11930062,32.50931329,"Monroe, LA",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-90.0715282,29.95106985,"New Orleans, LA",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-93.75017659,32.52515261,"Shreveport, LA",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-71.83611085,42.19444762,"Auburn, MA",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
