url,description,address,status,date,type,latitude,longitude
http://seeclickfix.com/minneapolis?at=&page=2&q=light&sort_col=hot&sort_dir=desc&status%5BAcknowledged%5D=true&status%5BClosed%5D=true&status%5BOpen%5D=true,Light out,"201-239 5th St N Minneapolis, MN",Acknowledged,8/31/2014,Lights,44.991436,-93.255185
http://seeclickfix.com/minneapolis?at=&page=2&q=light&sort_col=hot&sort_dir=desc&status%5BAcknowledged%5D=true&status%5BClosed%5D=true&status%5BOpen%5D=true,Light out,"619-729 5th St N Minneapolis, MN",Acknowledged,8/22/2014,Lights,44.985639,-93.281045
http://seeclickfix.com/minneapolis?at=&page=2&q=light&sort_col=hot&sort_dir=desc&status%5BAcknowledged%5D=true&status%5BClosed%5D=true&status%5BOpen%5D=true,Light out,"643 5th St N Minneapolis, MN",Acknowledged,8/22/2014,Lights,44.985379,-93.280923
http://seeclickfix.com/minneapolis?at=&page=3&q=light&sort_col=hot&sort_dir=desc&status%5BAcknowledged%5D=true&status%5BClosed%5D=true&status%5BOpen%5D=true,Missing/Damaged light,"643 5th St N Minneapolis, MN",Acknowledged,7/29/2014,Lights,44.985379,-93.280923
http://seeclickfix.com/minneapolis?at=&page=2&q=light&sort_col=hot&sort_dir=desc&status%5BAcknowledged%5D=true&status%5BClosed%5D=true&status%5BOpen%5D=true,Neighbor growing major ivy up new street light.,"3558-3598 Nicollet Ave Minneapolis, MN",Acknowledged,8/16/2014,Lights,44.937771,-93.27793
http://seeclickfix.com/minneapolis?at=&page=2&q=light&sort_col=hot&sort_dir=desc&status%5BAcknowledged%5D=true&status%5BClosed%5D=true&status%5BOpen%5D=true,Sidewalk streetlight out,"643 5th St N Minneapolis, MN",Acknowledged,8/22/2014,Lights,44.985379,-93.280923
http://seeclickfix.com/minneapolis?at=&page=10&q=street&sort_col=hot&sort_dir=desc&status%5BAcknowledged%5D=true&status%5BClosed%5D=true&status%5BOpen%5D=true,Sidewalk streetlight out,"643 5th St N Minneapolis, MN",Acknowledged,8/22/2014,Lights,44.985379,-93.280923
http://seeclickfix.com/minneapolis?q=light&at=&status%5BOpen%5D=true&status%5BAcknowledged%5D=true&status%5BClosed%5D=true&sort_col=hot&sort_dir=desc,Street Light,"Nicollet Ave S & 40th St W Minneapolis, MN 55409 ",Acknowledged,9/12/2014,Lights,44.930588,-93.277992
http://seeclickfix.com/minneapolis?q=street&at=&status%5BOpen%5D=true&status%5BAcknowledged%5D=true&status%5BClosed%5D=true&sort_col=hot&sort_dir=desc,Street Light,"Nicollet Ave S & 40th St W Minneapolis, MN 55409 ",Acknowledged,9/12/2014,Lights,44.930588,-93.277992
http://seeclickfix.com/minneapolis?q=light&at=&status%5BOpen%5D=true&status%5BAcknowledged%5D=true&status%5BClosed%5D=true&sort_col=hot&sort_dir=desc,Street Light,"1400-1498 Franklin Avenue SE Mississippi National River and Recreation Area Minneapolis, MN 55414 ",Closed,9/5/2014,Lights,44.964591,-93.217896
